pk,record,datetime,user,project_id,VarLabel,VarName,VarDescription,FieldType,VarBlank,VarNull,Identifier,VarMaxDigits,VarMaxDecimalPlaces,VarMaxLength
2,1,2012-08-14 20:47,natalie,3,Subject Initials,subjectInitials,subject initials,CharField,0,0,1,NULL,NULL,5
3,1,2012-08-14 20:48,natalie,3,Subject study number,studyNumber,study number,BigIntegerField,0,0,0,NULL,NULL,NULL
4,1,2012-08-14 20:51,natalie,3,Name of subject,subjectName,Name,CharField,0,0,0,NULL,NULL,20
5,1,2012-08-14 21:00,lisa,7,Signature,Signature,Signature,CharField,0,0,0,NULL,NULL,25
6,1,2012-08-14 21:24,lisa,7,Admission/Baseline,Admission_Baseline,Forms to collected at admission/baseline,BooleanField,0,0,0,NULL,NULL,NULL
7,1,2012-08-14 21:30,lisa,7,test,test1,tests stuff,RadioButton,1,0,0,NULL,NULL,NULL
8,1,2012-08-14 21:30,lisa,7,test,test2,tests stuff,RadioButton,0,0,0,NULL,NULL,NULL
9,1,2012-08-15 16:26,lisa,7,Date,date,The date of the encounter,DateField,0,0,0,NULL,NULL,NULL
10,1,2012-08-15 16:29,lisa,7,"Please page the nurse coordinator at #04753 that a pt has been enrolled.  Please bring completed CRF to Stroke Research Office, Room C1241B",admissionBaselineChecklist1,admission Baseline Checklist 1,BooleanField,0,0,0,NULL,NULL,NULL
11,1,2012-08-15 16:41,lisa,7,Look up demographic and lab information from Sunrise to update pt list,lookUpDemographic,Demographic and lab info,BooleanField,0,0,0,NULL,NULL,NULL
12,1,2012-08-15 16:42,lisa,7,Fill in the imaging and treatment details in CRF,fillINImagingTreatment,Imaging and Treatment Details,BooleanField,0,0,0,NULL,NULL,NULL
13,1,2012-08-15 16:57,lisa,7,Order all baseline and 24h bloodwork,orderAllBaselineAnd24HBloodwork,order baseline and 24h bloodwork,BooleanField,0,0,0,NULL,NULL,NULL
14,1,2012-08-15 17:00,lisa,7,Please page the nurse coordinator at #,admissionInstructions,Admission Instructions,BooleanField,0,0,0,NULL,NULL,NULL
15,1,2012-08-15 17:02,lisa,7,"Height, weight and waist measurments",heightWeightAndWaistMeasurements,Measurments,BooleanField,0,0,0,NULL,NULL,NULL
16,1,2012-08-15 17:05,lisa,7,NIHSS (anyone certified),24hoursPlusorMinus8HoursFromSymptomOnset,24 hour follow up,BooleanField,0,0,0,NULL,NULL,NULL
17,1,2012-08-15 17:06,lisa,7,Other lab work,otherLabWorkAt24Hours,Other Lab Work,BooleanField,0,0,0,NULL,NULL,NULL
18,1,2012-08-15 17:09,lisa,7,Contact Stroke Prevention Clinic To Arrange Day 90 Visit for the pt to be seen in the Stroke Prevention Clinic,priorToDischargeCheckList,Instructions before Discharge,BooleanField,0,0,0,NULL,NULL,NULL
19,1,2012-08-15 17:12,lisa,7,"Send a letter to the pt with time, date, of appointment and directions to the SPC",followUpInstructionsforPTFor90DayAppt,90 day follow up instructions,BooleanField,0,0,0,NULL,NULL,NULL
20,1,2012-08-15 17:14,lisa,7,NIHSS (anyone certified),day90Plus_Minus14Days,90 day follow up instructions,BooleanField,0,0,0,NULL,NULL,NULL
21,1,2012-08-15 17:15,lisa,7,Modified Rankin Scale (anyone Certified),modifiedRankinScale,Rankin Scale,BooleanField,0,0,0,NULL,NULL,NULL
22,1,2012-08-15 17:16,lisa,7,Physician Final Diagnosis Form,finalDiagnosisForm,Physician's Final Diagnosis Form,BooleanField,0,0,0,NULL,NULL,NULL
23,1,2012-08-15 17:17,lisa,7,Signature,signaturePg1,Signature,CharField,0,0,0,NULL,NULL,50
24,1,2012-08-15 17:18,lisa,7,Date,datePg1,Date,DateField,0,0,0,NULL,NULL,NULL
25,1,2012-08-15 17:20,lisa,7,Inclusion Criteria (All of the following MUST be YES,inclusioncriteriaPg2,Inclusion Criteria,RadioButton,0,0,0,NULL,NULL,NULL
26,1,2012-08-15 17:34,lisa,7,Patients presenting to the Foothills Medical Centre emergency department with:,patientsPresentingWithTheFollowing,Inclusion Criteria,RadioButton,0,1,0,NULL,NULL,NULL
27,1,2012-08-15 17:45,lisa,7,Acute ischemic stroke deficits and are considered potential candidates for thrombolytic treatment (either IV or IA or a combination of both),acuteIschemicStrokeDeficits,Potential Candidates for Thrombolytic Treatment - Acute Ischemic Stroke,RadioButton,0,1,0,NULL,NULL,NULL
28,1,2012-08-15 17:48,lisa,7,Age>40,ageLessThan40,Is the Patient less than 40,RadioButton,0,1,0,NULL,NULL,NULL
29,1,2012-08-15 18:38,lisa,7,Symptom onset within 12 hours from time last seen normal if anterior circlation strokes and 24 hours from last seen normal if posterior circulation strokes and 24 hours from last seen normal if posterior circulation strokes (include wake up strokes if it satisfies criteria above).,symptomonSetWithin12hoursAnterior_24HoursPosterior,Symptom onset Anterior or posterior,RadioButton,0,1,0,NULL,NULL,NULL
30,1,2012-08-15 18:39,lisa,7,Subject Initials,subjectinitials,Subject Initials,CharField,0,0,0,NULL,NULL,5
31,1,2012-08-15 18:40,lisa,7,Subject#:,subject,Subject #,BigIntegerField,0,0,0,NULL,NULL,NULL
32,1,2012-08-15 18:42,lisa,7,Exclusion Criteria:   (All of the following MUST be NO),exclusionCriteria,Exclusion Criteria,RadioButton,0,0,0,NULL,NULL,NULL
33,1,2012-08-15 18:43,lisa,7,"Unable to have CT-angio performed due to known renal impairment, contrast allergy, agitation or some other reason",unableToHaveCt,Unable to have CT,RadioButton,0,1,0,NULL,NULL,NULL
